Currys Carlow SC,3722950,08/01/2017,,29507050,"20,840.00",,,,,"20,840.00",0.00,"20,840.00",757037286319,,0.00,
Total for Currys Carlow SC:,"20,840.00",,,"20,840.00",0.00,"20,840.00",0.00,,,,,,,,,
"Currys Donegal, Letterkenny Retail Park",3722959,08/01/2017,,29597689,"29,560.00",,0.00,,,"29,560.00",0.00,"29,560.00",757015601028,,0.00,
"Total for Currys Donegal, Letterkenny Retail Park:","29,560.00",0.00,,"29,560.00",0.00,"29,560.00",0.00,,,,,,,,,
"Currys Galway, Headford Road, Wellpark Retail Park",3722927,09/01/2017,,29272762,"28,200.00",,,,,"28,200.00",0.00,"28,200.00",757014889878,,0.00,
"Currys Galway, Headford Road, Wellpark Retail Park",3722927,09/01/2017,,29272770,"19,290.00",,,,,"19,290.00",0.00,"19,290.00",757014889861,,0.00,
"Total for Currys Galway, Headford Road, Wellpark Retail Park:","47,490.00",,,"47,490.00",0.00,"47,490.00",0.00,,,,,,,,,
Currys Mahon Point,3722932,09/01/2017,,29324357,"19,490.00",,,,,"19,490.00",0.00,"19,490.00",757033989412,,0.00,
Currys Mahon Point,3722932,09/01/2017,,29324365,"22,840.00",,,,,"22,840.00",0.00,"22,840.00",757033989405,,0.00,
Total for Currys Mahon Point:,"42,330.00",,,"42,330.00",0.00,"42,330.00",0.00,,,,,,,,,
"Currys Sligo, Sligo Retail Park",3722946,08/01/2017,,29462850,"29,550.00",,0.00,,,"29,550.00",0.00,"29,550.00",757013276334,,0.00,
"Total for Currys Sligo, Sligo Retail Park:","29,550.00",0.00,,"29,550.00",0.00,"29,550.00",0.00,,,,,,,,,
PC World Jervis Street,3722968,08/01/2017,,29681079,"29,850.00",,0.00,,,"29,850.00",0.00,"29,850.00",757033993877,,0.00,
Total for PC World Jervis Street:,"29,850.00",0.00,,"29,850.00",0.00,"29,850.00",0.00,,,,,,,,,
"PC World Manor West, Tralee",3722924,09/01/2017,,29244092,"21,990.00",,,,,"21,990.00",0.00,"21,990.00",757033047280,,0.00,
"Total for PC World Manor West, Tralee:","21,990.00",,,"21,990.00",0.00,"21,990.00",0.00,,,,,,,,,
PC World Sligo,3722941,09/01/2017,,29419900,"12,050.00",,0.00,,,"12,050.00",0.00,"12,050.00",757034491426,,0.00,
Total for PC World Sligo:,"12,050.00",0.00,,"12,050.00",0.00,"12,050.00",0.00,,,,,,,,,
PCW/Currys Blanchardstown RP,3722975,08/01/2017,,29756350,"29,690.00",,,,,"29,690.00",0.00,"29,690.00",757030720117,,0.00,
PCW/Currys Blanchardstown RP,3722975,09/01/2017,,29756368,"11,830.00",,,,,"11,830.00",0.00,"11,830.00",757030720124,,0.00,
Total for PCW/Currys Blanchardstown RP:,"41,520.00",,,"41,520.00",0.00,"41,520.00",0.00,,,,,,,,,
Total for Standard Processing:,"275,180.00",0.00,,"275,180.00",0.00,"275,180.00",0.00,,,,,,,,,
Total for DSG Retail Ireland Limited:,"275,180.00","275,180.00",0.00,"275,180.00",0.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
End of Report,,,,,,,,,,,,,,,,
"ISA Version 6.6.0.0 Report Version 1.3 [S4] GSLS",Page -1 of 1,,,,,,,,,,,,,,,
