Store,CC Code,Dixons Carphone,Collection Date,Slip No,S.T.C.,Euro Notes,Euro Coins,Sub Total,Actual,Difference,STERLING,Internal Bag No,External Bag No,200,100,50,20,10,5
1334,3722950,Currys Carlow SC,08/01/2017,29507050,"20,840.00","20,840.00",0.00,"20,840.00","20,840.00",0.00,,0,8631-9,0.00,400.00,"18,500.00","1,940.00",0.00,0.00,
1322,3722959,"Currys Donegal, Letterkenny Retail Park",08/01/2017,29597689,"29,560.00","29,560.00",0.00,"29,560.00","29,560.00",0.00,,0,0102-8,0.00,500.00,"26,500.00","2,560.00",0.00,0.00,
1323,3722927,"Currys Galway, Headford Road, Wellpark Retail Park",09/01/2017,29272762,"28,200.00","28,200.00",0.00,"28,200.00","28,200.00",0.00,,0,8987-8,0.00,800.00,"24,700.00","2,700.00",0.00,0.00,
1323,3722927,"Currys Galway, Headford Road, Wellpark Retail Park",09/01/2017,29272770,"19,290.00","19,290.00",0.00,"19,290.00","19,290.00",0.00,,0,8986-1,0.00,0.00,"17,350.00","1,940.00",0.00,0.00,
1337,3722932,Currys Mahon Point,09/01/2017,29324365,"22,840.00","22,840.00",0.00,"22,840.00","22,840.00",0.00,,0,8940-5,0.00,100.00,"21,400.00","1,340.00",0.00,0.00,
1337,3722932,Currys Mahon Point,09/01/2017,29324357,"19,490.00","19,490.00",0.00,"19,490.00","19,490.00",0.00,,0,8941-2,0.00,200.00,"17,450.00","1,840.00",0.00,0.00,
1329,3722946,"Currys Sligo, Sligo Retail Park",08/01/2017,29462850,"29,550.00","29,550.00",0.00,"29,550.00","29,550.00",0.00,,0,7633-4,0.00,200.00,"26,350.00","1,800.00",200.00,0.00,
2949,3722968,PC World Jervis Street,08/01/2017,29681079,"29,850.00","29,850.00",0.00,"29,850.00","29,850.00",0.00,,0,9387-7,0.00,"1,300.00","24,850.00","3,700.00",0.00,0.00,
2951,3722924,"PC World Manor West, Tralee",09/01/2017,29244092,"21,990.00","21,990.00",0.00,"21,990.00","21,990.00",0.00,,0,4728-0,0.00,700.00,"18,750.00","1,540.00",0.00,0.00,
2955,3722941,PC World Sligo,09/01/2017,29419900,"12,050.00","12,050.00",0.00,"12,050.00","12,050.00",0.00,,0,9142-6,0.00,200.00,"10,650.00","1,200.00",0.00,0.00,
1332,3722975,PCW/Currys Blanchardstown RP,09/01/2017,29756368,"11,830.00","11,830.00",0.00,"11,830.00","11,830.00",0.00,,0,2012-4,0.00,0.00,"9,750.00","2,080.00",0.00,0.00,
1332,3722975,PCW/Currys Blanchardstown RP,08/01/2017,29756350,"29,690.00","29,690.00",0.00,"29,690.00","29,690.00",0.00,,0,2011-7,0.00,0.00,"25,950.00","2,820.00",420.00,0.00,
